File,SW20,Location,Used4Training,ClassSegment1,ClassSegment2,ClassSegment3,ClassSegment4,ClassSegment5,ClassSegment6,ClassSegment7,ClassSegment8,ClassSegment9,ClassSegment10,ClassSegment11,ClassSegment12,ClassSegment13,ClassSegment14,ClassSegment15,ClassSegment16,ClassSegment17,ClassSegment18,ClassSegment19,ClassSegment20,ClassSegment21,ClassSegment22,ClassSegment23,ClassSegment24,ClassSegment25,ClassSegment26,ClassSegment27,ClassSegment28,ClassSegment29,ClassSegment30,ClassSegment31,ClassSegment32,ClassSegment33,ClassSegment34,ClassSegment35,ClassSegment36,ClassSegment37,ClassSegment38,ClassSegment39,ClassSegment40,ClassSegment41,ClassSegment42,ClassSegment43,ClassSegment44,ClassSegment45,ClassSegment46,ClassSegment47,ClassSegment48
20150707_023002_0293.wav,1,CdM,0,0.8396,0.8194,0.3938,0.6333,0.5487,0.9375,0.9822,0.4329,0.4617,0.6883,0.8998,0.7067,0.5261,0.0095,0.9638,0.8548,0.9928,0.572,0.8278,0.6314,0.7499,0.3597,0.982,0.9167,0.5484,0.5106,0.8712,0.9087,0.9965,0.929,0.791,0.6652,0.5042,0.5509,0.6471,0.7192,0.5226,0.2219,0.6543,0.799,0.4481,0.5604,0.9398,0.8721,0.4032,0.0279,0.6859,0.2197
20150707_070002_0302.wav,1,CdM,0,0.8659,0.7773,0.9434,0.6388,0.5765,0.6387,0.8981,0.6203,0.6992,0.6512,0.6181,0.8334,0.7408,0.7425,0.7671,0.8008,0.6105,0.8931,0.3326,0.4488,0.7573,0.9323,0.9904,0.3951,0.3669,0.9131,0.959,0.6437,0.6717,0.8726,0.7765,0.8198,0.8418,0.8443,0.4889,0.086,0.8278,0.9402,0.925,0.0452,0.8564,0.7999,0.8873,0.9678,0.7923,0.9089,0.7762,0.6822
20150708_010002_0338.wav,1,CdM,0,0.5078,0.6197,0.1835,0.8159,0.6377,0.6995,0.5495,0.8626,0.6475,0.6722,0.95,0.5038,0.0314,0.3016,0.8672,0.0538,0.9096,0.2485,0.8749,0.7405,0.0206,0.8578,0.9585,0.8637,0.0367,0.6368,0.7308,0.9624,0.6568,0.9686,0.0375,0.6683,0.773,0.8467,0.6815,0.9013,0.8778,0.8492,0.3923,0.3593,0.9788,0.6401,0.4488,0.9039,0.2314,0.9694,0.8366,0.636
20150708_113002_0359.wav,1,CdM,0,0.9021,0.4345,0.9593,0.6011,0.4981,0.9275,0.3365,0.4699,0.1944,0.7125,0.4496,0.5636,0.785,0.6215,0.4862,0.5635,0.7749,0.5004,0.3625,0.2911,0.8543,0.2346,0.5902,0.3369,0.2486,0.886,0.902,0.4126,0.3073,0.1926,0.9861,0.5063,0.1613,0.4746,0.3631,0.7337,0.1443,0.9063,0.9663,0.2802,0.4402,0.4926,0.5017,0.6367,0.8472,0.4114,0.6318,0.9045
20150708_130003_0362.wav,1,CdM,0,0.9776,0.5724,0.9473,0.9226,0.7405,0.7836,0.5298,0.8118,0.708,0.3245,0.7593,0.8493,0.7453,0.7132,0.8529,0.9958,0.7756,0.7233,0.5662,0.9887,0.8835,0.2395,0.771,0.7892,0.6,0.6961,0.4093,0.8147,0.9406,0.6906,0.8782,0.9803,0.8097,0.3191,0.5643,0.4514,0.2517,0.9395,0.3097,0.8496,0.484,0.9611,0.9047,0.6711,0.5507,0.5882,0.6875,0.7108
20150709_033003_0391.wav,1,CdM,0,0.5813,0.8594,0.8983,0.7754,0.811,0.721,0.3363,0.2909,0.9907,0.8866,0.8707,0.8795,0.8819,0.9264,0.629,0.0803,0.3452,0.9678,0.8949,0.9515,0.8878,0.8076,0.618,0.4643,0.8743,0.9849,0.9449,0.9243,0.5085,0.8798,0.7643,0.8792,0.8126,0.9895,0.6129,0.4261,0.9106,0.9998,0.8541,0.8634,0.5136,0.9371,0.8637,0.7217,0.961,0.9454,0.8927,0.9102
20150709_073003_0399.wav,1,CdM,1,0.9452,0.8122,0.8207,0.9959,0.8296,0.7156,0.7097,0.9277,0.8436,0.8127,0.1446,0.6375,0.877,0.592,0.7443,0.5145,0.3952,0.5656,0.6154,0.0366,0.9629,0.949,0.2116,0.9591,0.8559,0.9977,0.6853,0.7766,0.9508,0.6911,0.8078,0.7826,0.7767,0.3298,0.831,0.8714,0.9339,0.7269,0.7545,0.5961,0.7593,0.6551,0.7237,0.9191,0.8934,0.5074,0.6482,0.979
20150709_113002_0407.wav,1,CdM,1,0.9127,0.9692,0.4303,0.5113,0.4875,0.5554,0.5323,0.9267,0.8982,0.984,0.416,0.5331,0.3999,0.4999,0.6154,0.9038,0.5882,0.616,0.6675,0.9868,0.6698,0.4913,0.7238,0.8266,0.8517,0.6747,0.6164,0.8458,0.3339,0.8981,0.6119,0.2564,0.9718,0.9478,0.7609,0.6943,0.4384,0.8261,0.7945,0.4973,0.3449,0.7854,0.4435,0.5435,0.9451,0.8991,0.893,0.4989
20150709_200003_0424.wav,1,CdM,0,0.5667,0.9142,0.4186,0.9909,0.7487,0.9315,0.7203,0.9923,0.7747,0.4185,0.4203,0.9352,0.9783,0.1075,0.7708,0.6785,0.8694,0.4823,0.6351,0.7254,0.9318,0.7721,0.9646,0.9293,0.9187,0.8858,0.5426,0.7684,0.9175,0.7294,0.9369,0.9615,0.7629,0.5182,0.177,0.8574,0.8463,0.3303,0.9937,0.8801,0.8837,0.9445,0.7488,0.9701,0.6874,0.6636,0.8355,0.5026
20150710_130003_0458.wav,1,CdM,0,0.7579,0.6665,0.8845,0.3948,0.2418,0.9503,0.7459,0.2768,0.6048,0.6217,0.5163,0.9915,0.9529,0.7849,0.9445,0.823,0.4068,0.6091,0.7144,0.8989,0.9942,0.9645,0.2196,0.56,0.8663,0.8178,0.5893,0.8893,0.7825,0.7584,0.4767,0.7691,0.8471,0.507,0.8106,0.5226,0.9274,0.7679,0.5176,0.6547,0.9351,0.9365,0.3475,0.8542,0.6605,0.7176,0.9363,0.7444
20150710_173003_0467.wav,1,CdM,0,0.5762,0.5875,0.0558,0.687,0.9143,0.6005,0.8667,0.7225,0.91,0.9618,0.612,0.9608,0.3099,0.9418,0.6227,0.5312,0.7414,0.9392,0.1167,0.7075,0.5486,0.9725,0.8563,0.9263,0.9662,0.2614,0.8941,0.5555,0.4409,0.93,0.4545,0.8072,0.9564,0.1087,0.8983,0.4651,0.771,0.733,0.9245,0.9091,0.7107,0.8211,0.9738,0.8474,0.9901,0.4842,0.6312,0.3823
20150711_040002_0488.wav,1,CdM,0,0.6533,0.8612,0.906,0.1494,0.6955,0.6924,0.6132,0.9929,0.7701,0.187,0.3451,0.2566,0.9671,0.85,0.9847,0.2102,0.051,0.7285,0.8941,0.991,0.863,0.6401,0.2207,0.6373,0.629,0.577,0.6085,0.8706,0.66,0.8982,0.2171,0.9124,0.8604,0.745,0.9727,0.346,0.6866,0.533,0.9951,0.9872,0.251,0.528,0.8323,0.22,0.2041,0.7872,0.2145,0.5537
20150711_053003_0491.wav,1,CdM,0,0.9482,0.5174,0.7164,0.7854,0.9856,0.7251,0.5517,0.9665,0.9562,0.8425,0.6338,0.5117,0.9903,0.9236,0.9518,0.9725,0.9933,0.9253,0.6239,0.9392,0.8631,0.4023,0.9178,0.8382,0.6491,0.9649,0.8123,0.8357,0.7473,0.5458,0.9281,0.9742,0.9776,0.8239,0.6962,0.5859,0.9254,0.7679,0.5228,0.4317,0.8922,0.6562,0.0146,0.6783,0.9505,0.9863,0.4239,0.6175
20150711_060003_0492.wav,1,CdM,1,0.7748,0.6245,0.8781,0.9068,0.7463,0.5893,0.5558,0.94,0.9725,0.8919,0.7893,0.9762,0.5796,0.9567,0.7849,0.7229,0.0161,0.8806,0.8567,0.8853,0.336,0.7525,0.8792,0.3591,0.9218,0.9296,0.9605,0.9617,0.9475,0.5525,0.9844,0.8756,0.3399,0.6524,0.9884,0.4697,0.8668,0.9012,0.8382,0.8807,0.9667,0.7347,0.8918,0.9312,0.8085,0.8986,0.8317,0.7407
20150712_170003_0562.wav,1,CdM,0,0.901,0.9716,0.8788,0.8445,0.9888,0.6665,0.8834,0.6351,0.5844,0.8284,0.7314,0.8391,0.8954,0.0653,0.5434,0.0746,0.551,0.7597,0.6604,0.5836,0.7052,0.9396,0.959,0.8778,0.9475,0.5914,0.9101,0.0628,0.8869,0.6406,0.6446,0.9131,0.7007,0.6703,0.983,0.945,0.9386,0.7882,0.86,0.9386,0.6466,0.9265,0.8529,0.9154,0.8721,0.8882,0.9935,0.9222
20150713_070003_0590.wav,1,CdM,0,0.4999,0.6881,0.8777,0.9765,0.7952,0.9872,0.9246,0.5964,0.913,0.705,0.9901,0.7255,0.873,0.618,0.6009,0.8988,0.8673,0.8138,0.3437,0.7994,0.5701,0.6611,0.8887,0.6222,0.7247,0.906,0.5876,0.8987,0.9475,0.813,0.8567,0.0255,0.7158,0.8965,0.8885,0.7206,0.6909,0.8176,0.6395,0.9196,0.4639,0.7232,0.8033,0.9899,0.931,0.7402,0.3851,0.9213
20150713_140003_0604.wav,1,CdM,0,0.9202,0.7033,0.9861,0.8473,0.6209,0.7419,0.8806,0.6024,0.6337,0.9021,0.7795,0.885,0.6141,0.9646,0.9024,0.7735,0.8427,0.8262,0.729,0.4359,0.3808,0.895,0.5587,0.3829,0.5384,0.8561,0.9847,0.6505,0.5248,0.7387,0.9604,0.5685,0.605,0.8054,0.9878,0.6171,0.7191,0.2283,0.6085,0.685,0.9689,0.8093,0.9624,0.7995,0.7208,0.8278,0.7291,0.6546
20150714_003003_0625.wav,1,CdM,1,0.8861,0.9942,0.6032,0.677,0.6029,0.5313,0.8371,0.8162,0.6669,0.1559,0.917,0.7871,0.2076,0.9015,0.0262,0.9992,0.807,0.4276,0.6379,0.3237,0.683,0.5655,0.773,0.7597,0.7093,0.9331,0.314,0.8179,0.5971,0.8044,0.7126,0.7784,0.5547,0.5056,0.7255,0.7796,0.9938,0.8761,0.9469,0.7206,0.4814,0.6934,0.7045,0.3386,0.5641,0.6849,0.7178,0.7447
20150714_040003_0632.wav,1,CdM,0,0.9477,0.6927,0.721,0.8781,0.9325,0.9333,0.8226,0.8095,0.6303,0.8919,0.6577,0.1551,0.8258,0.9529,0.5293,0.5921,0.7482,0.654,0.986,0.4677,0.5921,0.6779,0.8087,0.9629,0.9368,0.7623,0.9305,0.9803,0.7042,0.9922,0.9685,0.7717,0.9341,0.7378,0.9028,0.9887,0.9655,0.9702,0.9657,0.8177,0.8959,0.796,0.8742,0.9955,0.9182,0.4883,0.9921,0.8219
20150715_083003_0689.wav,1,CdM,0,0.8653,0.4131,0.9224,0.8411,0.9522,0.8924,0.7465,0.5281,0.8937,0.5864,0.7933,0.6716,0.448,0.8155,0.7842,0.7184,0.7922,0.8831,0.6184,0.8239,0.8184,0.5646,0.8568,0.568,0.8191,0.818,0.1411,0.0265,0.7921,0.0292,0.8088,0.5723,0.2745,0.3511,0.4584,0.67,0.5973,0.6996,0.8597,0.5056,0.944,0.9032,0.7342,0.6369,0.7169,0.7046,0.9651,0.5351
20150715_163003_0705.wav,1,CdM,1,0.0265,0.5687,0.5237,0.1672,0.693,0.8173,0.7954,0.9021,0.9964,0.6696,0.8834,0.9612,0.912,0.845,0.9576,0.966,0.8489,0.3335,0.885,0.8306,0.7342,0.9666,0.7275,0.9685,0.6861,0.8707,0.8057,0.5089,0.7498,0.9189,0.9727,0.4705,0.9381,0.19,0.7083,0.9718,0.7173,0.8346,0.1666,0.9751,0.7607,0.9121,0.9008,0.8239,0.6281,0.6867,0.1593,0.8883
20150715_213003_0715.wav,1,CdM,1,0.9461,0.8996,0.159,0.7423,0.052,0.8179,0.9769,0.1717,0.8972,0.796,0.9441,0.6736,0.1087,0.6959,0.8669,0.7589,0.8653,0.9395,0.9363,0.8746,0.1464,0.1745,0.9308,0.5353,0.1833,0.9794,0.7026,0.0949,0.3356,0.5054,0.9404,0.6511,0.0744,0.9212,0.866,0.5827,0.8465,0.7776,0.9967,0.8435,0.9132,0.9616,0.6489,0.8639,0.644,0.5746,0.8696,0.9991
20150716_090003_0738.wav,1,CdM,0,0.6411,0.8548,0.4714,0.9324,0.939,0.5486,0.3483,0.8565,0.8223,0.7167,0.6087,0.8073,0.9936,0.3695,0.7955,0.8427,0.3055,0.9646,0.891,0.3384,0.8719,0.9751,0.9564,0.4882,0.8647,0.2799,0.6183,0.7199,0.6852,0.5501,0.7194,0.6525,0.8219,0.7534,0.5969,0.8947,0.5276,0.3221,0.4973,0.2957,0.8776,0.87,0.7819,0.6264,0.9325,0.8324,0.7621,0.8056
20150717_040002_0776.wav,1,CdM,0,0.8487,0.9489,0.8832,0.9511,0.9975,0.8074,1.0,1.0,0.9069,0.9365,0.9905,0.9883,0.7342,0.8774,0.5535,0.995,0.9556,0.8395,0.5312,0.937,1.0,0.9999,0.9532,0.7357,0.7997,0.6262,0.929,0.8059,0.6032,0.8415,0.8724,0.146,0.2857,0.2602,0.0675,0.5925,0.6833,0.834,0.0857,0.4571,0.8771,0.5916,0.9418,0.9543,0.5793,0.7806,0.7853,0.7629
20150719_123003_0889.wav,1,CdM,1,0.7474,0.928,0.733,0.658,0.6955,0.7385,0.8582,0.8722,0.6419,0.0025,0.2388,0.8958,0.7144,0.5104,0.809,0.8009,0.4813,0.0429,0.7537,0.02,0.7828,0.2759,0.6741,0.9143,0.9388,0.8817,0.2177,0.9526,0.1553,0.9912,0.5153,0.5658,0.9945,0.2094,0.5711,0.4294,0.601,0.9882,0.7566,0.8438,0.4707,0.8503,0.8186,0.7359,0.7118,0.2918,0.8374,0.9776
20150719_140003_0892.wav,1,CdM,0,0.6922,0.5557,0.1662,0.6141,0.5413,0.8792,0.7349,0.7392,0.4804,0.8858,0.1303,0.991,0.7751,0.5501,0.7975,0.9755,0.8706,0.439,0.5012,0.674,0.7599,0.8971,0.6333,0.7929,0.9311,0.5951,0.7451,0.9101,0.7984,0.9866,0.0756,0.078,0.2066,0.8946,0.7575,0.9621,0.8416,0.7328,0.6319,0.9454,0.7184,0.6259,0.8326,0.9629,0.5375,0.8031,0.7491,0.8201
20150719_183002_0901.wav,1,CdM,0,0.8804,0.4805,0.0688,0.9013,0.0375,0.0268,0.4706,0.002,0.9633,0.6898,0.8345,0.3714,0.8956,0.6414,0.8771,0.5374,0.4701,0.7831,0.8348,0.5584,0.9363,0.8249,0.5224,0.1831,0.4133,0.312,0.4512,0.027,0.8675,0.9423,0.8381,0.4329,0.2654,0.6759,0.1497,0.892,0.9717,0.7258,0.276,0.8721,0.9149,0.827,0.9438,0.9167,0.6186,0.6491,0.8316,0.5679
20150720_200003_0952.wav,1,CdM,1,0.339,0.861,0.1632,0.6821,0.797,0.7489,0.7073,0.7847,0.5533,0.6199,0.6016,0.6936,0.9675,0.3451,0.4075,0.4169,0.7188,0.3464,0.8825,0.5636,0.4818,0.7429,0.4695,0.3094,0.6482,0.7954,0.2481,0.3772,0.743,0.7599,0.1517,0.3547,0.2114,0.5162,0.8927,0.3404,0.3576,0.5102,0.4033,0.5574,0.1925,0.1244,0.6422,0.2703,0.1222,0.6253,0.5548,0.3099
20150720_210004_0954.wav,1,CdM,1,0.4333,0.9449,0.1571,0.0806,0.7529,0.414,0.3136,0.6402,0.3613,0.1782,0.1755,0.2139,0.2481,0.4951,0.5151,0.3604,0.338,0.5814,0.7989,0.9673,0.2328,0.9258,0.8331,0.6609,0.8485,0.9234,0.1571,0.5703,0.2739,0.9295,0.8179,0.6327,0.7253,0.6883,0.7175,0.9581,0.9714,0.878,0.213,0.7892,0.0865,0.5645,0.3028,0.1648,0.9477,0.479,0.5418,0.4092
20150721_110003_0982.wav,1,CdM,1,0.9832,0.8409,0.1091,0.6271,0.8551,0.7078,0.7954,0.8908,0.0494,0.0707,0.192,0.4579,0.2779,0.0883,0.2847,0.5033,0.1643,0.6605,0.2727,0.9058,0.1703,0.8439,0.1674,0.3893,0.9643,0.8758,0.4075,0.1575,0.8577,0.1407,0.0449,0.3752,0.3053,0.2529,0.5614,0.2341,0.1764,0.4942,0.5315,0.469,0.8801,0.6177,0.5223,0.7588,0.6956,0.1062,0.8818,0.9088
20150721_223003_1005.wav,1,CdM,1,0.0378,0.9115,0.096,0.7256,0.3027,0.9541,0.6834,0.6378,0.8735,0.3514,0.9788,0.7712,0.8443,0.06,0.6653,0.8513,0.3327,0.6755,0.3301,0.4744,0.7083,0.5178,0.9259,0.3485,0.8716,0.4235,0.3456,0.3939,0.6148,0.721,0.9307,0.9786,0.023,0.6763,0.8589,0.8675,0.5586,0.2886,0.064,0.177,0.0893,0.691,0.678,0.9164,0.8519,0.4954,0.292,0.4201
20150722_140003_1036.wav,1,CdM,1,0.9509,0.7122,0.6376,0.8771,0.8212,0.3771,0.9713,0.8763,0.3362,0.6217,0.6263,0.7223,0.9519,0.7955,0.2876,0.9215,0.6871,0.865,0.8406,0.1126,0.9849,0.6318,0.9733,0.9293,0.237,0.5325,0.9846,0.5652,0.9039,0.6978,0.6301,0.2315,0.7199,0.8199,0.9826,0.8851,0.5625,0.3789,0.8757,0.2538,0.0829,0.6279,0.5592,0.9196,0.8674,0.2415,0.9202,0.5188
20150722_163003_1041.wav,0,CdM,0,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0005,0.0,0.0,0.0,0.0,0.0005,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0,0.004,0.0005,0.0005,0.0,0.0,0.0013,0.0,0.0016,0.0001,0.0005
20150722_210003_1050.wav,1,CdM,0,0.2755,0.2707,0.4591,0.412,0.1149,0.4573,0.8303,0.8003,0.5418,0.6301,0.7599,0.6578,0.9904,0.8848,0.6274,0.7406,0.8742,0.6259,0.9408,0.6901,0.6364,0.7735,0.9958,0.9158,0.8082,0.8299,0.7579,0.6851,0.6395,0.8518,1.0,0.7617,0.9679,0.8184,0.8151,0.6958,0.9881,0.8913,0.057,0.8737,0.9905,0.8764,0.7599,0.5723,0.6833,0.2668,0.3924,0.061
20150723_173003_1091.wav,1,CdM,1,0.8995,0.6564,0.0068,0.5681,0.5366,0.1908,0.1299,0.4222,0.129,0.1259,0.1592,0.3139,0.8681,0.4704,0.1651,0.0424,0.0031,0.0926,0.0074,0.0046,0.0634,0.0813,0.4002,0.0114,0.2645,0.3544,0.5542,0.2003,0.4856,0.9187,0.2497,0.1448,0.26,0.3174,0.1742,0.9911,0.8403,0.1228,0.7642,0.1761,0.1709,0.1325,0.0709,0.3164,0.1959,0.0841,0.0371,0.1663
20150724_003003_1105.wav,1,CdM,0,0.7317,0.8182,0.2497,0.1479,0.5119,0.4497,0.4336,0.4469,0.9772,0.6107,0.6594,0.6041,0.73,0.9642,0.8078,0.3484,0.391,0.6647,0.4416,0.5234,0.3769,0.4827,0.5882,0.6801,0.32,0.7969,0.1269,0.9057,0.0892,0.1098,0.9001,0.0207,0.6361,0.954,0.4999,0.5367,0.6584,0.303,0.8339,0.3538,0.1252,0.9476,0.0586,0.6378,0.6452,0.7019,0.749,0.7836
20150724_020003_1108.wav,1,CdM,1,0.0476,0.2374,0.8389,0.0224,0.4133,0.8622,0.1945,0.8196,0.2623,0.443,0.3684,0.1592,0.0306,0.8323,0.6098,0.9429,0.6943,0.9462,0.555,0.4774,0.7899,0.6531,0.7853,0.6761,0.4039,0.968,0.4549,0.2794,0.5785,0.6691,0.5702,0.5955,0.0133,0.0064,0.112,0.8812,0.7226,0.3834,0.4357,0.1324,0.1505,0.2076,0.0945,0.5743,0.9579,0.1713,0.5298,0.1237
20150724_053002_1115.wav,1,CdM,1,0.5812,0.0285,0.9776,0.9195,0.0666,0.5321,0.1513,0.8621,0.0785,0.9039,0.2154,0.3843,0.5795,0.821,0.1041,0.2839,0.8491,0.9109,0.7425,0.7684,0.0565,0.0315,0.8589,0.746,0.0651,0.9482,0.135,0.4255,0.2063,0.4443,0.7703,0.6524,0.6063,0.0765,0.067,0.6988,0.7123,0.0784,0.9817,0.2666,0.2841,0.3791,0.6766,0.6468,0.0166,0.8569,0.866,0.9436
20150724_073003_1119.wav,0,CdM,0,0.7818,0.4074,0.2649,0.3516,0.5583,0.1876,0.3383,0.2262,0.2213,0.3003,0.1749,0.2448,0.258,0.4443,0.5549,0.2906,0.0617,0.1269,0.5998,0.1345,0.7086,0.4882,0.092,0.845,0.1511,0.0657,0.1554,0.1479,0.1625,0.4224,0.3625,0.3766,0.6337,0.43,0.1037,0.1023,0.1816,0.5857,0.4503,0.5851,0.4142,0.2146,0.4801,0.3727,0.5254,0.8567,0.2387,0.2662
20150724_130002_1130.wav,1,CdM,0,0.3215,0.4146,0.1446,0.6818,0.0116,0.6884,0.5663,0.1761,0.0325,0.5939,0.0105,0.0737,0.3504,0.0211,0.0397,0.7952,0.1999,0.0048,0.1054,0.1005,0.9612,0.1696,0.5806,0.0296,0.1159,0.672,0.3169,0.8131,0.0231,0.639,0.0248,0.5376,0.3323,0.8955,0.8074,0.1268,0.7905,0.5054,0.3614,0.6495,0.1917,0.0796,0.0608,0.0477,0.5971,0.2676,0.0403,0.7943
20150725_100002_1172.wav,1,CdM,1,0.0955,0.0373,0.1575,0.0431,0.0259,0.8068,0.6236,0.5516,0.9024,0.9304,0.8023,0.4155,0.7055,0.7797,0.8303,0.8924,0.0787,0.3927,0.6465,0.6618,0.6969,0.2056,0.5964,0.5298,0.0341,0.9387,0.6196,0.4115,0.8556,0.1307,0.6762,0.6958,0.6186,0.715,0.3404,0.7467,0.0034,0.6274,0.1352,0.94,0.3106,0.4287,0.5752,0.4872,0.5868,0.766,0.7704,0.2625
